Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito,Tension
1000.001000,-87.677905,-0.000068,0.000084,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030791,-0.000002,0.094918
1001.000000,-87.677973,-0.000068,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030810,-0.000002,0.094813
1001.001000,-87.677973,-0.000068,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030810,-0.000002,0.094813
1002.000000,-87.678041,-0.000067,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030830,-0.000002,0.094710
1002.001000,-87.678041,-0.000067,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030830,-0.000002,0.094710
1003.000000,-87.678108,-0.000067,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030849,-0.000002,0.094606
1003.001000,-87.678108,-0.000067,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030849,-0.000002,0.094606
1004.000000,-87.678175,-0.000067,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030868,-0.000002,0.094503
1004.001000,-87.678175,-0.000067,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030868,-0.000002,0.094503
1005.000000,-87.678242,-0.000067,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030887,-0.000002,0.094401
1005.001000,-87.678242,-0.000067,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030887,-0.000002,0.094401
1006.000000,-87.678308,-0.000066,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030907,-0.000002,0.094299
1006.001000,-87.678308,-0.000066,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030907,-0.000002,0.094299
1007.000000,-87.678375,-0.000066,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030926,-0.000002,0.094197
1007.001000,-87.678375,-0.000066,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030926,-0.000002,0.094197
1008.000000,-87.678441,-0.000066,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030944,-0.000002,0.094096
1008.001000,-87.678441,-0.000066,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030945,-0.000002,0.094096
1009.000000,-87.678506,-0.000066,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030963,-0.000002,0.093995
1009.001000,-87.678506,-0.000066,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030963,-0.000002,0.093995
1010.000000,-87.678572,-0.000065,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030982,-0.000002,0.093894
1010.001000,-87.598572,79.999935,0.000083,-0.002580,-0.000319,-0.000000,-0.000002,-0.000001,-0.030982,-0.000002,0.093894
1011.000000,-38.307642,54.214118,0.000083,-54.063810,-0.379391,-0.001455,0.000011,0.000909,0.132761,0.005160,0.093794
1011.001000,-38.253140,54.502597,0.000083,-54.350683,-0.380487,-0.001465,0.000011,0.000911,0.132154,0.005174,0.093794
1012.000000,32.808347,7.560322,0.000083,-6.333300,-0.437673,-1.759186,0.000352,0.021902,0.000181,0.399899,0.093695
1012.001000,32.815900,7.553253,0.000083,-6.326598,-0.437592,-1.759674,0.000353,0.021955,0.000181,0.400370,0.093695
1013.000000,37.687971,2.921404,0.000083,-2.351079,-0.380359,-1.722119,0.000931,0.093142,0.000113,0.732462,0.093596
1013.001000,37.690890,2.918631,0.000083,-2.348938,-0.380320,-1.721886,0.000931,0.093224,0.000113,0.732669,0.093595
1014.000000,39.568914,1.113981,0.000085,-1.022783,-0.353675,-1.495011,0.001607,0.174988,0.000094,0.849834,0.093497
1014.001000,39.570027,1.112867,0.000085,-1.022007,-0.353658,-1.494809,0.001608,0.175067,0.000094,0.849879,0.093497
1015.000000,40.254579,0.361502,0.000087,-0.507755,-0.341565,-1.324900,0.002331,0.248282,0.000088,0.849418,0.093399
1015.001000,40.254940,0.361018,0.000087,-0.507426,-0.341557,-1.324758,0.002332,0.248348,0.000088,0.849383,0.093399
1016.000000,40.426510,0.025976,0.000090,-0.277193,-0.336052,-1.204394,0.003080,0.308746,0.000086,0.795173,0.093305
1016.001000,40.426536,0.025755,0.000090,-0.277035,-0.336049,-1.204292,0.003081,0.308800,0.000086,0.795106,0.093305
1017.000000,40.365196,-0.128691,0.000095,-0.161152,-0.333620,-1.117020,0.003845,0.357503,0.000087,0.721691,0.093217
1017.001000,40.365068,-0.128793,0.000095,-0.161069,-0.333619,-1.116945,0.003846,0.357547,0.000087,0.721615,0.093217
1018.000000,40.196894,-0.198135,0.000101,-0.097330,-0.332684,-1.053298,0.004621,0.396997,0.000088,0.645798,0.093140
1018.001000,40.196696,-0.198179,0.000101,-0.097282,-0.332684,-1.053244,0.004622,0.397032,0.000088,0.645724,0.093140
1019.000000,39.982912,-0.224821,0.000107,-0.060065,-0.332479,-1.007426,0.005407,0.429570,0.000090,0.574857,0.093084
1019.001000,39.982687,-0.224835,0.000107,-0.060036,-0.332479,-1.007388,0.005407,0.429600,0.000090,0.574790,0.093084
1020.000000,39.754451,-0.229565,0.000114,-0.037501,-0.332612,-0.975016,0.006199,0.457088,0.000092,0.511531,0.093060
1020.001000,39.754221,-0.229563,0.000114,-0.037483,-0.332612,-0.974989,0.006200,0.457114,0.000092,0.511472,0.093060
1021.000000,39.527327,-0.223524,0.000122,-0.023556,-0.332877,-0.952395,0.006996,0.480923,0.000094,0.456273,0.093080
1021.001000,39.527103,-0.223515,0.000122,-0.023545,-0.332878,-0.952376,0.006997,0.480945,0.000094,0.456221,0.093080
1022.000000,39.308875,-0.213007,0.000129,-0.014843,-0.333169,-0.936541,0.007798,0.502046,0.000096,0.408573,0.093164
1022.001000,39.308662,-0.212995,0.000129,-0.014837,-0.333170,-0.936528,0.007799,0.502066,0.000096,0.408529,0.093164
1023.000000,39.101603,-0.201601,0.000136,-0.009368,-0.333439,-0.925119,0.008603,0.521138,0.000098,0.367571,0.093330
1023.001000,39.101401,-0.201590,0.000136,-0.009364,-0.333439,-0.925109,0.008603,0.521156,0.000098,0.367533,0.093330
1024.000000,38.905320,-0.191252,0.000143,-0.005918,-0.333669,-0.916440,0.009410,0.538670,0.000100,0.332335,0.093600
1024.001000,38.905129,-0.191242,0.000143,-0.005915,-0.333669,-0.916432,0.009411,0.538686,0.000100,0.332302,0.093600
1025.000000,38.718438,-0.182892,0.000150,-0.003740,-0.333859,-0.909355,0.010220,0.554971,0.000102,0.301989,0.093998
1025.001000,38.718255,-0.182885,0.000150,-0.003739,-0.333859,-0.909349,0.010221,0.554986,0.000102,0.301961,0.093998
1026.000000,38.538766,-0.176850,0.000157,-0.002365,-0.334018,-0.903127,0.011031,0.570276,0.000104,0.275757,0.094548
1026.001000,38.538589,-0.176845,0.000157,-0.002364,-0.334018,-0.903121,0.011032,0.570291,0.000104,0.275733,0.094549
1027.000000,38.363977,-0.173103,0.000163,-0.001496,-0.334158,-0.897307,0.011844,0.584756,0.000106,0.252976,0.095276
1027.001000,38.363803,-0.173100,0.000163,-0.001496,-0.334158,-0.897302,0.011845,0.584770,0.000106,0.252954,0.095277
1028.000000,38.191865,-0.171448,0.000168,-0.000947,-0.334292,-0.891641,0.012659,0.598538,0.000107,0.233086,0.096223
1028.001000,38.191694,-0.171447,0.000168,-0.000947,-0.334292,-0.891635,0.012660,0.598551,0.000107,0.233067,0.096224
1029.000000,38.020478,-0.171603,0.000173,-0.000600,-0.334431,-0.885994,0.013474,0.611717,0.000109,0.215621,0.097476
1029.001000,38.020306,-0.171604,0.000173,-0.000600,-0.334431,-0.885988,0.013475,0.611730,0.000109,0.215605,0.097477
1030.000000,37.848157,-0.173263,0.000178,-0.000380,-0.334584,-0.880310,0.014289,0.624370,0.000111,0.200197,0.099132
1030.001000,37.847984,-0.173266,0.000178,-0.000380,-0.334585,-0.880304,0.014290,0.624383,0.000111,0.200183,0.099134
1031.000000,37.673545,-0.176139,0.000182,-0.000241,-0.334761,-0.874574,0.015105,0.636559,0.000113,0.186495,0.101294
1031.001000,37.673368,-0.176142,0.000182,-0.000241,-0.334761,-0.874568,0.015105,0.636571,0.000113,0.186482,0.101296
1032.000000,37.495560,-0.179966,0.000186,-0.000153,-0.334966,-0.868795,0.015920,0.648332,0.000115,0.174250,0.104064
1032.001000,37.495380,-0.179970,0.000186,-0.000153,-0.334966,-0.868790,0.015920,0.648344,0.000115,0.174239,0.104067
1033.000000,37.313367,-0.184519,0.000190,-0.000097,-0.335204,-0.862995,0.016734,0.659733,0.000117,0.163246,0.107548
1033.001000,37.313182,-0.184523,0.000190,-0.000097,-0.335204,-0.862989,0.016735,0.659745,0.000117,0.163236,0.107552
1034.000000,37.126341,-0.189603,0.000193,-0.000062,-0.335478,-0.857196,0.017547,0.670797,0.000119,0.153302,0.111851
1034.001000,37.126151,-0.189608,0.000193,-0.000062,-0.335478,-0.857190,0.017548,0.670808,0.000119,0.153293,0.111856
1035.000000,36.934031,-0.195061,0.000196,-0.000039,-0.335789,-0.851424,0.018358,0.681555,0.000121,0.144269,0.117074
1035.001000,36.933836,-0.195067,0.000196,-0.000039,-0.335790,-0.851419,0.018359,0.681565,0.000121,0.144260,0.117080
1036.000000,36.736131,-0.200763,0.000199,-0.000025,-0.336139,-0.845703,0.019167,0.692033,0.000124,0.136022,0.123317
1036.001000,36.735931,-0.200769,0.000199,-0.000025,-0.336139,-0.845697,0.019168,0.692043,0.000124,0.136014,0.123324
1037.000000,36.532452,-0.206606,0.000202,-0.000016,-0.336527,-0.840050,0.019974,0.702256,0.000126,0.128457,0.130672
1037.001000,36.532245,-0.206612,0.000202,-0.000016,-0.336527,-0.840045,0.019975,0.702266,0.000126,0.128450,0.130680
1038.000000,36.322895,-0.212506,0.000204,-0.000010,-0.336952,-0.834485,0.020778,0.712243,0.000129,0.121489,0.139226
1038.001000,36.322682,-0.212512,0.000204,-0.000010,-0.336952,-0.834479,0.020779,0.712253,0.000129,0.121482,0.139236
1039.000000,36.107436,-0.218401,0.000206,-0.000007,-0.337413,-0.829019,0.021578,0.722015,0.000132,0.115044,0.149057
1039.001000,36.107217,-0.218407,0.000206,-0.000007,-0.337414,-0.829014,0.021579,0.722024,0.000132,0.115038,0.149068
1040.000000,35.886106,-0.224240,0.000208,-0.000004,-0.337909,-0.823665,0.022376,0.731586,0.000134,0.109061,0.160233
1040.001000,35.885882,-0.224246,0.000208,-0.000004,-0.337910,-0.823660,0.022376,0.731596,0.000134,0.109055,0.160245
1041.000000,35.658981,-0.229986,0.000210,-0.000003,-0.338438,-0.818432,0.023169,0.740973,0.000137,0.103489,0.172814
1041.001000,35.658751,-0.229992,0.000210,-0.000003,-0.338439,-0.818427,0.023170,0.740982,0.000137,0.103483,0.172827
1042.000000,35.426169,-0.235612,0.000212,-0.000002,-0.338998,-0.813326,0.023958,0.750189,0.000141,0.098283,0.186846
1042.001000,35.425933,-0.235617,0.000212,-0.000002,-0.338999,-0.813320,0.023959,0.750198,0.000141,0.098278,0.186861
1043.000000,35.187799,-0.241097,0.000213,-0.000001,-0.339588,-0.808351,0.024742,0.759245,0.000144,0.093407,0.202368
1043.001000,35.187558,-0.241102,0.000213,-0.000001,-0.339588,-0.808346,0.024743,0.759254,0.000144,0.093402,0.202384
1044.000000,34.944022,-0.246427,0.000214,-0.000001,-0.340204,-0.803513,0.025522,0.768153,0.000147,0.088828,0.219404
1044.001000,34.943775,-0.246432,0.000214,-0.000001,-0.340205,-0.803509,0.025523,0.768162,0.000147,0.088824,0.219422
1045.000000,34.694995,-0.251594,0.000216,-0.000000,-0.340846,-0.798814,0.026297,0.776923,0.000151,0.084520,0.237972
1045.001000,34.694743,-0.251599,0.000216,-0.000000,-0.340847,-0.798810,0.026298,0.776932,0.000151,0.084515,0.237991
1046.000000,34.440886,-0.256591,0.000217,-0.000000,-0.341511,-0.794256,0.027067,0.785564,0.000155,0.080457,0.258074
1046.001000,34.440629,-0.256596,0.000217,-0.000000,-0.341511,-0.794251,0.027067,0.785572,0.000155,0.080453,0.258095
1047.000000,34.181865,-0.261416,0.000218,-0.000000,-0.342197,-0.789840,0.027831,0.794084,0.000159,0.076621,0.279707
1047.001000,34.181604,-0.261421,0.000218,-0.000000,-0.342197,-0.789835,0.027831,0.794093,0.000159,0.076617,0.279729
1048.000000,33.918106,-0.266070,0.000219,-0.000000,-0.342902,-0.785566,0.028589,0.802492,0.000163,0.072992,0.302854
